region,text-form,probability,urbanisation
North East,in North East England,0.0471,0.3007
North West,in North West England,0.1791,0.5622
Yorkshire and the Humber,in Yorkshire,0.2759,0.3434
East Midlands,in the East Midlands,0.3622,0.1321
West Midlands,in the West Midlands,0.4678,0.1849
East of England,in the East of England,0.5800,0.0692
London,in London,0.7350,1
South East,in the South East of England,0.8995,0.0563
South West,in the South West of England,1,0.1231
